origin_month,payment_month,development_month,member_months,seasonal_index,incremental_paid,cumulative_paid
2020-01,2020-01,0,80942,1.085,5087221485.45,5087221485.45
2020-01,2020-02,1,80942,1.085,3790411182.86,8877632668.31
2020-01,2020-03,2,80942,1.085,2443823712.12,11321456380.43
2020-01,2020-04,3,80942,1.085,1885692727.34,13207149107.78
2020-01,2020-05,4,80942,1.085,1316283859.71,14523432967.49
2020-01,2020-06,5,80942,1.085,938740826.51,15462173794.0
2020-01,2020-07,6,80942,1.085,689631139.85,16151804933.84
2020-01,2020-08,7,80942,1.085,520849336.47,16672654270.31
2020-01,2020-09,8,80942,1.085,406177059.92,17078831330.24
2020-01,2020-10,9,80942,1.085,318710779.18,17397542109.41
2020-01,2020-11,10,80942,1.085,257942990.72,17655485100.14
2020-01,2020-12,11,80942,1.085,215965258.71,17871450358.84
2020-01,2021-01,12,80942,1.085,172105716.4,18043556075.24
2020-01,2021-02,13,80942,1.085,148408738.19,18191964813.43
2020-01,2021-03,14,80942,1.085,113951039.03,18305915852.46
2020-01,2021-04,15,80942,1.085,96633294.21,18402549146.67
2020-01,2021-05,16,80942,1.085,96768190.5,18499317337.17
2020-01,2021-06,17,80942,1.085,75306403.87,18574623741.04
2020-01,2021-07,18,80942,1.085,67196730.52,18641820471.56
2020-01,2021-08,19,80942,1.085,64270099.29,18706090570.85
2020-01,2021-09,20,80942,1.085,51736871.96,18757827442.81
2020-01,2021-10,21,80942,1.085,56931162.25,18814758605.06
2020-01,2021-11,22,80942,1.085,40298622.26,18855057227.31
2020-01,2021-12,23,80942,1.085,36472118.33,18891529345.64
2020-01,2022-01,24,80942,1.085,30911319.08,18922440664.72
2020-01,2022-02,25,80942,1.085,36770688.34,18959211353.06
2020-01,2022-03,26,80942,1.085,29349631.92,18988560984.98
2020-01,2022-04,27,80942,1.085,25862289.87,19014423274.85
2020-01,2022-05,28,80942,1.085,21882243.17,19036305518.02
2020-01,2022-06,29,80942,1.085,23244721.28,19059550239.3
2020-01,2022-07,30,80942,1.085,21723866.15,19081274105.46
2020-01,2022-08,31,80942,1.085,16902165.35,19098176270.81
2020-01,2022-09,32,80942,1.085,18987178.55,19117163449.36
2020-01,2022-10,33,80942,1.085,14119631.41,19131283080.78
2020-01,2022-11,34,80942,1.085,16921838.26,19148204919.03
2020-01,2022-12,35,80942,1.085,13464215.58,19161669134.61
2020-02,2020-02,0,81763,1.086112,5292722305.18,5292722305.18
2020-02,2020-03,1,81763,1.086112,3508743093.97,8801465399.15
2020-02,2020-04,2,81763,1.086112,2566662458.83,11368127857.98
2020-02,2020-05,3,81763,1.086112,1901365760.3,13269493618.28
2020-02,2020-06,4,81763,1.086112,1300218077.9,14569711696.18
2020-02,2020-07,5,81763,1.086112,982073012.85,15551784709.03
2020-02,2020-08,6,81763,1.086112,770089051.4,16321873760.42
2020-02,2020-09,7,81763,1.086112,521617591.17,16843491351.6
2020-02,2020-10,8,81763,1.086112,412793272.04,17256284623.63
2020-02,2020-11,9,81763,1.086112,326731831.51,17583016455.14
2020-02,2020-12,10,81763,1.086112,251054580.9,17834071036.04
2020-02,2021-01,11,81763,1.086112,218746427.32,18052817463.37
2020-02,2021-02,12,81763,1.086112,158937173.72,18211754637.09
2020-02,2021-03,13,81763,1.086112,141700737.35,18353455374.44
2020-02,2021-04,14,81763,1.086112,121533810.99,18474989185.43
2020-02,2021-05,15,81763,1.086112,108129669.33,18583118854.76
2020-02,2021-06,16,81763,1.086112,97283835.2,18680402689.96
2020-02,2021-07,17,81763,1.086112,79480107.64,18759882797.6
2020-02,2021-08,18,81763,1.086112,71061885.49,18830944683.1
2020-02,2021-09,19,81763,1.086112,60731688.92,18891676372.01
2020-02,2021-10,20,81763,1.086112,59002550.38,18950678922.39
2020-02,2021-11,21,81763,1.086112,52466049.35,19003144971.74
2020-02,2021-12,22,81763,1.086112,46866641.95,19050011613.69
2020-02,2022-01,23,81763,1.086112,38466160.61,19088477774.3
2020-02,2022-02,24,81763,1.086112,33312985.82,19121790760.12
2020-02,2022-03,25,81763,1.086112,31270047.58,19153060807.7
2020-02,2022-04,26,81763,1.086112,26752464.08,19179813271.78
2020-02,2022-05,27,81763,1.086112,25295569.92,19205108841.71
2020-02,2022-06,28,81763,1.086112,25268089.37,19230376931.08
2020-02,2022-07,29,81763,1.086112,21856263.61,19252233194.68
2020-02,2022-08,30,81763,1.086112,18448200.39,19270681395.07
2020-02,2022-09,31,81763,1.086112,16906265.55,19287587660.62
2020-02,2022-10,32,81763,1.086112,15913649.03,19303501309.65
2020-02,2022-11,33,81763,1.086112,16335322.51,19319836632.17
2020-02,2022-12,34,81763,1.086112,14729038.8,19334565670.97
2020-02,2023-01,35,81763,1.086112,12925279.97,19347490950.94
