anio_origen,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9
2016,13731646840.14,23051498156.65,30228665104.79,35156897569.72,37602443443.60,40735365645.22,42103203846.15,42635667630.77,44083793171.72,44083793171.72
2017,18072489809.95,30627540216.51,39745618167.30,46055786740.45,49803472290.14,53972944989.08,54850426430.33,56413804353.62,58453492201.75,
2018,17318473801.36,28776480154.37,36829780253.41,44156361718.50,46902272237.36,49418571170.33,53254057876.17,53291038610.76,,
2019,22165513793.07,38556465782.87,49258347446.14,57250202097.32,61977657477.46,66446324002.40,67832365100.41,,,
2020,24926976673.39,42052351842.37,53783738889.60,62767669312.77,67579324729.82,73512543124.13,,,,
2021,25815594042.07,43942671355.16,55579780719.98,65059306118.29,71234722557.80,,,,,
2022,23814187605.76,40454307820.12,53282633641.56,60094578123.61,,,,,,
2023,28906907512.19,48686600870.08,63423762676.56,,,,,,,
2024,32086155100.33,54371085852.80,,,,,,,,
2025,35102445143.85,,,,,,,,,
