origin_year,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9
2016,5490095310.13,8943465289.02,10825267955.21,12108541572.54,12966594335.02,13537857577.34,13884707988.86,14103788589.43,14307680317.39,14410218767.9
2017,5275530095.33,8768343191.02,10796843573.37,11863668659.77,12879282031.37,13572950471.46,14003359034.55,14250329614.94,14422755887.56,
2018,6643274185.88,10351215626.59,13151740928.56,14914113148.64,16252875860.65,17065485731.54,17514203139.78,17876853868.57,,
2019,8121717932.3,13208557032.76,16959216478.72,19082851965.98,20524420883.56,21481681616.85,22054257414.97,,,
2020,8819477639.11,15068755853.74,18771670180.66,21136589493.76,22657826451.36,23766378593.61,,,,
2021,9031969231.43,14552463091.74,18721988557.37,21000531625.57,22388825304.61,,,,,
2022,10446635905.38,17338662767.23,21349206965.4,23945039784.65,,,,,,
2023,9749492522.0,16804041562.64,23207959530.93,,,,,,,
2024,12183402214.76,19457855322.37,,,,,,,,
2025,15888374518.66,,,,,,,,,
