anio_origen,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9
2016,5490095310.13,3453369978.89,1881802666.19,1283273617.33,858052762.48,571263242.32,346850411.52,219080600.57,203891727.96,102538450.51
2017,5275530095.33,3492813095.69,2028500382.35,1066825086.4,1015613371.6,693668440.09,430408563.09,246970580.39,172426272.62,
2018,6643274185.88,3707941440.71,2800525301.97,1762372220.08,1338762712.02,812609870.89,448717408.24,362650728.8,,
2019,8121717932.3,5086839100.46,3750659445.97,2123635487.26,1441568917.57,957260733.29,572575798.12,,,
2020,8819477639.11,6249278214.64,3702914326.91,2364919313.1,1521236957.6,1108552142.25,,,,
2021,9031969231.43,5520493860.31,4169525465.63,2278543068.21,1388293679.03,,,,,
2022,10446635905.38,6892026861.85,4010544198.17,2595832819.25,,,,,,
2023,9749492522.0,7054549040.64,6403917968.29,,,,,,,
2024,12183402214.76,7274453107.61,,,,,,,,
2025,15888374518.66,,,,,,,,,
