desarrollo_desde,desarrollo_hasta,factor_edad_a_edad,observaciones,cv_ratios_individuales,cdf_hasta_edad_35,estado_heuristica_demo
0,1,1.69151454,71,0.01801343,3.65941144,adecuado_demo
1,2,1.28530362,70,0.00862062,2.16339343,adecuado_demo
2,3,1.15869002,69,0.00429010,1.68317695,adecuado_demo
3,4,1.09896470,68,0.00388727,1.45265508,adecuado_demo
4,5,1.06526739,67,0.00275580,1.32183962,adecuado_demo
5,6,1.04552292,66,0.00216804,1.24085242,adecuado_demo
6,7,1.03277245,65,0.00138366,1.18682469,adecuado_demo
7,8,1.02430097,64,0.00121009,1.14916378,adecuado_demo
8,9,1.01887917,63,0.00081886,1.12190052,adecuado_demo
9,10,1.01487540,62,0.00077267,1.10111242,adecuado_demo
10,11,1.01183056,61,0.00058726,1.08497301,adecuado_demo
11,12,1.00964230,60,0.00055325,1.07228726,adecuado_demo
12,13,1.00804211,59,0.00038850,1.06204669,adecuado_demo
13,14,1.00674439,58,0.00037550,1.05357373,adecuado_demo
14,15,1.00577213,57,0.00033688,1.04651562,adecuado_demo
15,16,1.00497698,56,0.00028264,1.04050967,adecuado_demo
16,17,1.00427927,55,0.00025042,1.03535672,adecuado_demo
17,18,1.00368070,54,0.00025732,1.03094502,adecuado_demo
18,19,1.00332182,53,0.00021362,1.02716434,adecuado_demo
19,20,1.00287493,52,0.00021115,1.02376358,adecuado_demo
20,21,1.00258533,51,0.00020219,1.02082877,adecuado_demo
21,22,1.00233251,50,0.00015064,1.01819639,adecuado_demo
22,23,1.00201407,49,0.00015990,1.01582696,adecuado_demo
23,24,1.00184591,48,0.00014679,1.01378513,adecuado_demo
24,25,1.00166660,47,0.00013609,1.01191722,adecuado_demo
25,26,1.00148794,46,0.00012848,1.01023357,adecuado_demo
26,27,1.00137609,45,0.00012438,1.00873263,adecuado_demo
27,28,1.00123149,44,0.00010915,1.00734643,adecuado_demo
28,29,1.00113137,43,0.00010154,1.00610741,adecuado_demo
29,30,1.00101884,42,0.00009547,1.00497042,adecuado_demo
30,31,1.00092745,41,0.00007940,1.00394756,adecuado_demo
31,32,1.00085576,40,0.00008164,1.00301731,adecuado_demo
32,33,1.00079719,39,0.00008413,1.00215970,adecuado_demo
33,34,1.00071222,38,0.00007924,1.00136143,adecuado_demo
34,35,1.00064874,37,0.00005709,1.00064874,adecuado_demo
