mes_origen,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20,dev_21,dev_22,dev_23,dev_24,dev_25,dev_26,dev_27,dev_28,dev_29,dev_30,dev_31,dev_32,dev_33,dev_34,dev_35
2020-01,5087221485.45,3790411182.86,2443823712.12,1885692727.34,1316283859.71,938740826.51,689631139.85,520849336.47,406177059.92,318710779.18,257942990.72,215965258.71,172105716.4,148408738.19,113951039.03,96633294.21,96768190.5,75306403.87,67196730.52,64270099.29,51736871.96,56931162.25,40298622.26,36472118.33,30911319.08,36770688.34,29349631.92,25862289.87,21882243.17,23244721.28,21723866.15,16902165.35,18987178.55,14119631.41,16921838.26,13464215.58
2020-02,5292722305.18,3508743093.97,2566662458.83,1901365760.3,1300218077.9,982073012.85,770089051.4,521617591.17,412793272.04,326731831.51,251054580.9,218746427.32,158937173.72,141700737.35,121533810.99,108129669.33,97283835.2,79480107.64,71061885.49,60731688.92,59002550.38,52466049.35,46866641.95,38466160.61,33312985.82,31270047.58,26752464.08,25295569.92,25268089.37,21856263.61,18448200.39,16906265.55,15913649.03,16335322.51,14729038.8,12925279.97
2020-03,5347997953.5,3455611525.09,2462462001.0,1672761268.14,1212704165.48,934155551.32,694481443.47,510715530.54,411233963.3,323889959.29,257050776.24,202126642.09,168891650.99,152091958.98,120659437.7,112101798.74,78886727.21,71556141.52,61539196.19,53419741.09,51836741.39,48621737.23,44717377.73,36822825.95,31671412.63,32859316.35,24833226.68,24283022.5,23424429.43,23991681.62,19471841.53,17887198.95,14472105.81,14594441.12,14265905.57,10952626.28
2020-04,5142532696.42,3475968043.63,2416440759.18,1779271080.92,1270407687.14,986875221.29,673817202.64,473162983.5,424229516.16,317508608.53,234852794.28,199899498.16,176177455.47,136357299.94,121835252.41,92037122.19,88728672.1,76660840.84,66958618.6,67546440.79,58263159.78,47740391.15,41909918.78,36249248.71,37043926.66,33437718.98,28706717.96,28744060.59,22066850.62,20063620.17,17832034.86,15633676.92,15035224.49,18039248.64,14072652.29,12381893.69
2020-05,4923293461.75,3381344410.12,2483748954.68,1741372609.38,1286712610.27,886873646.25,663949123.0,494566671.09,383600721.76,299258335.37,232992652.38,179206505.7,160036249.55,137083296.01,117609355.69,94421676.06,93908817.45,75217150.71,55865688.39,64502088.7,46842814.69,47160122.79,36751400.71,37776484.68,32389318.27,25895879.88,32785442.49,25390506.97,19674788.02,20307463.54,20351664.74,17727604.37,16098239.26,13591930.14,14369803.76,13136394.73
2020-06,4780477469.39,3270365309.64,2368188835.0,1548884263.37,1191327697.16,857706726.78,633704136.9,517512198.18,375051108.88,301067314.96,230039186.05,182749000.57,160110660.93,132641952.71,111460499.3,99416628.39,89225045.4,74787025.88,61515687.56,61264604.98,48936850.04,40561665.73,41709666.17,33955306.08,29385760.13,28791012.09,27037492.57,21189059.4,19529383.26,21514686.27,16219478.74,13230603.96,16454383.91,14056123.46,13300405.54,11181440.04
2020-07,4586252857.75,3323964129.75,2214888272.25,1637608949.37,1168480663.22,822956689.78,654158262.45,453925869.97,333278713.73,298239445.2,205470579.6,175864312.18,158275679.0,117830053.06,100988372.74,97134313.82,83352569.96,72378011.36,62791104.41,54746234.18,49228188.58,45716712.58,38747865.38,35420782.9,31912841.97,25999255.78,23291571.44,21244280.26,24334852.49,21855016.44,16658799.43,15890470.24,12502987.77,12638984.13,13244619.24,11286329.22
2020-08,4643439158.03,3004274302.7,2377992253.5,1558506174.68,1165020995.79,881261691.08,630638823.15,449477046.02,367934868.9,292956213.95,221710231.29,177286972.9,154520821.49,130563420.42,110242819.48,95637858.28,74648661.24,63736345.74,57215679.12,50596349.55,52121572.88,44095302.73,43052579.43,33607499.98,37449221.12,26139792.49,24848440.8,23597819.23,22907705.82,21484469.19,16275771.63,15661435.22,15107278.14,13490273.45,12600832.67,10922679.62
2020-09,4969963062.32,3342376183.44,2402384824.55,1556400379.32,1235406336.06,848010796.74,669815678.03,497358285.43,376462657.19,304642621.51,239774800.82,179982612.98,150670629.38,136453080.42,114744516.49,107846172.44,88882974.07,77710072.29,68099061.48,62979044.64,53508688.75,44280809.58,39962537.84,34787144.47,30242872.97,30282481.73,26380062.16,24906751.25,18630310.8,19577798.88,18462327.23,18218307.3,17162996.55,11235141.83,13031223.52,11142671.77
2020-10,5094846510.78,3508125994.71,2581708895.99,1759687209.64,1359573779.75,892540656.32,704556853.33,550639493.69,413664575.81,314891727.8,264578018.6,207855114.18,173769414.63,157782820.86,125077105.15,114863055.31,92477123.79,80528966.7,63838684.66,66610994.5,59724324.83,41482298.11,46404545.54,37256454.52,36584396.52,30450689.07,27444423.6,25719676.69,22640002.11,20610889.23,21695505.57,18035488.55,14378995.78,17097182.45,14105215.0,11492571.45
2020-11,5080795442.08,3671227137.09,2613749560.63,1724052308.33,1182549073.17,992931862.08,651555561.81,567162948.55,430526817.77,330370920.82,257967152.9,204500682.1,165213621.59,133929848.55,121773027.68,107421221.3,86863774.35,77588797.14,69527439.57,59900172.43,57694084.38,48392695.6,45349759.02,36172011.79,35765073.44,32556230.47,27290292.13,24533115.14,23863492.74,17534619.32,19200788.86,17402854.13,13990228.47,14422764.67,11444619.72,11463778.33
2020-12,5559045974.43,4145514961.41,2697991381.47,1992082255.61,1290266117.42,1057428898.98,686663032.36,558305577.22,454737143.29,332590869.19,254214409.09,219384695.7,178372045.02,158709752.6,120009849.3,108026489.13,92960890.36,81141962.65,81163807.68,61568382.64,59529171.73,49995317.81,44526718.71,35028081.37,36605434.14,32389438.98,30727703.88,32352459.01,25002580.72,21680711.33,18167572.18,20069051.57,16581608.14,16707325.65,12655991.74,9753925.02
2021-01,5477867051.53,3713984711.05,2630032736.85,1913781745.04,1404297265.04,1005960368.73,770438109.51,578899975.39,430032733.41,338848941.05,259801787.94,200436432.24,176845765.59,153593456.53,121268619.69,109897402.72,94229035.46,77542299.45,79852043.73,64354650.37,51589955.47,44548918.74,46037388.35,41378800.39,39533714.94,33878661.59,33104671.2,30415414.59,23866340.31,25984122.43,17746601.6,21968369.35,19435829.96,16027889.81,15647599.21,12630215.48
2021-02,5789067720.28,4067884414.73,2702033091.7,1939606061.07,1375100826.44,1077342149.18,778739633.03,596086439.7,441078367.83,376724004.75,296708272.2,227538708.29,188121088.36,168901046.3,125801632.12,116581966.63,102286451.47,86863898.22,72455400.47,66468849.35,53475477.94,63810102.21,50702158.7,41830681.57,36919402.0,35976521.42,28915768.35,26083195.06,24501174.29,25151439.34,20888455.38,23434764.84,18029925.08,14597316.11,17618617.1,15635674.19
2021-03,5673355393.45,3959249695.71,2764135935.69,2075195991.01,1388598063.58,938699863.52,797296612.52,530977377.39,452012425.33,367179056.9,283806245.09,244163128.2,177457106.19,156132213.37,122590750.23,117793691.56,98543394.14,81598366.53,75775428.49,69717280.56,58413140.56,47234463.14,54796512.18,40863133.08,42945632.9,35614390.55,26124505.98,28263670.36,24685547.99,22734328.59,19459450.28,20718767.69,20021384.74,17454942.59,15200346.9,14192345.62
2021-04,5319381009.69,3763576623.67,2631098050.57,1992202297.47,1281306798.71,1034039733.94,717168431.34,584041884.82,427572536.65,331017940.6,275866898.74,214358905.17,204816367.87,144008157.12,140343633.71,112574424.41,102990973.74,77655377.66,78223394.64,63450089.25,65050705.2,45036943.4,48361729.24,37389318.61,32884713.35,26921970.04,28588476.64,25389500.58,27965391.54,20826555.21,22994112.82,19489075.11,14920940.4,20558680.32,14088247.09,13459367.92
2021-05,5347623195.62,3524982214.98,2596180993.28,1850615517.24,1261893759.93,955295760.53,730545393.01,528699917.53,426009080.91,323450634.56,271948293.84,226946678.05,193376839.52,140416408.71,119285568.41,106526637.6,92431653.24,73237839.2,76589520.71,57025028.16,59487795.74,50391519.46,45516831.85,40101930.89,33672210.6,37502344.38,28761954.62,25219641.97,23000497.67,23917845.81,17604265.5,16914077.48,16461126.44,16006451.04,13126604.02,13120098.96
2021-06,5342303921.68,3680668165.32,2503534599.39,1784748450.16,1302915972.35,987350954.81,710201767.36,558287435.58,420694384.88,320205700.72,252868147.67,227611888.64,183685347.01,149955275.4,122605279.19,99763987.52,86721565.81,86240432.26,68350760.64,62785723.08,64524688.53,55076098.02,48208928.9,36230996.62,37035482.32,30809494.14,30977348.89,25311531.26,23113075.51,19183159.7,23727357.46,18086725.67,16659356.93,15970736.3,14272813.81,13463479.76
